"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","age_num","na_count"
"Jove-Adult","blue-collar","single","basic","no","no","no","cellular","jul","fri",1369,9,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",28,0
"Adult","technician","single","professional.course","no","yes","no","cellular","jul","mon",365,3,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",47,0
"Adult","unemployed","married","basic","no","no","no","telephone","may","wed",506,2,"No","nonexistent",1.1,93.994,-36.4,4.858,5191,"yes",46,0
"Jove-Adult","blue-collar","divorced","basic","no","no","no","cellular","jul","thu",551,3,"No","nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes",31,0
"Jove-Adult","services","single","high.school",NA,"yes","yes","telephone","jun","mon",563,1,"No","nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes",39,1
"Jove-Adult","unemployed","married","high.school","no","yes","no","cellular","mar","fri",378,1,"No","nonexistent",-1.8,92.843,-50,1.531,5099.1,"yes",27,0
"Jove-Adult","admin.","married","university.degree","no","no","no","cellular","may","mon",365,4,"No","nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",40,0
"Jove-Adult","technician","divorced","professional.course","no","yes","no","cellular","may","wed",597,1,"No","nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"yes",39,0
"Adult","self-employed","divorced","high.school",NA,"yes","no","cellular","jul","tue",710,1,"No","nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",52,1
"Jove-Adult","admin.","married","university.degree","no","yes","yes","cellular","mar","tue",159,3,"No","nonexistent",-1.8,92.843,-50,1.687,5099.1,"yes",37,0
"Jove-Adult","technician","married","basic","no","yes","no","cellular","jul","mon",1080,4,"No","nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes",28,0
"Adult","technician","married","professional.course","no","yes","no","cellular","apr","thu",687,1,"Yes","success",-1.8,93.075,-47.1,1.365,5099.1,"yes",51,0
"Jove-Adult","services","single","high.school","no","yes","no","cellular","nov","thu",1059,2,"No","nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",31,0
